distance,physical_error_probability,algorithm,seed,windows,logical_failure,wall_seconds
3,0.0005,0.028,0,9,False,0.020214
3,0.0005,0.028,1,9,False,0.008077
3,0.0005,0.028,2,9,False,0.007989
3,0.0005,0.028,3,9,False,0.008002
3,0.0005,0.028,4,9,False,0.007908
3,0.0005,0.028,5,9,False,0.007926
3,0.0005,0.028,6,9,False,0.007958
3,0.0005,0.028,7,9,False,0.00792
3,0.0005,0.028,8,9,False,0.0079
3,0.0005,0.028,9,9,False,0.007968
3,0.0005,0.028,10,9,False,0.007917
3,0.0005,0.028,11,9,False,0.008657
3,0.0005,0.028,12,9,False,0.008263
3,0.0005,0.028,13,9,False,0.008369
3,0.0005,0.028,14,9,False,0.008135
3,0.0005,0.028,15,9,False,0.008003
3,0.0005,0.028,16,9,False,0.008136
3,0.0005,0.028,17,9,False,0.007988
3,0.0005,0.028,18,9,False,0.007841
3,0.0005,0.028,19,9,False,0.007784
3,0.0005,0.028,20,9,False,0.00797
3,0.0005,0.028,21,9,False,0.007806
3,0.0005,0.028,22,9,False,0.007984
3,0.0005,0.028,23,9,False,0.007877
3,0.0005,0.028,24,9,False,0.007945
3,0.0005,0.028,25,9,False,0.007814
3,0.0005,0.028,26,9,False,0.007797
3,0.0005,0.028,27,9,False,0.007889
3,0.0005,0.028,28,9,False,0.007875
3,0.0005,0.028,29,9,False,0.007883
3,0.0005,0.028,30,9,False,0.007806
3,0.0005,0.028,31,9,False,0.007826
3,0.0005,0.028,32,9,False,0.007887
3,0.0005,0.028,33,9,False,0.007761
3,0.0005,0.028,34,9,False,0.007932
3,0.0005,0.028,35,9,False,0.007964
3,0.0005,0.028,36,9,False,0.007944
3,0.0005,0.028,37,9,False,0.007791
3,0.0005,0.028,38,9,False,0.00783
3,0.0005,0.028,39,9,False,0.007823
3,0.0005,0.028,40,9,False,0.007849
3,0.0005,0.028,41,9,False,0.007765
3,0.0005,0.028,42,9,False,0.007808
3,0.0005,0.028,43,9,False,0.007785
3,0.0005,0.028,44,9,False,0.00789
3,0.0005,0.028,45,9,False,0.007846
3,0.0005,0.028,46,9,False,0.007802
3,0.0005,0.028,47,9,False,0.007811
3,0.0005,0.028,48,9,False,0.007893
3,0.0005,0.028,49,9,False,0.00781
3,0.0005,0.028,50,9,False,0.007804
3,0.0005,0.028,51,9,False,0.007826
3,0.0005,0.028,52,9,False,0.007884
3,0.0005,0.028,53,9,False,0.007766
3,0.0005,0.028,54,9,False,0.00786
3,0.0005,0.028,55,9,False,0.007772
3,0.0005,0.028,56,9,False,0.007874
3,0.0005,0.028,57,9,False,0.007861
3,0.0005,0.028,58,9,False,0.007773
3,0.0005,0.028,59,9,False,0.007789
3,0.0005,0.028,60,9,False,0.007877
3,0.0005,0.028,61,9,False,0.007869
3,0.0005,0.028,62,9,False,0.007812
3,0.0005,0.028,63,9,False,0.00784
3,0.0005,0.028,64,9,False,0.00789
3,0.0005,0.028,65,9,False,0.007831
3,0.0005,0.028,66,9,False,0.007829
3,0.0005,0.028,67,9,False,0.007815
3,0.0005,0.028,68,9,False,0.007863
3,0.0005,0.028,69,9,False,0.007849
3,0.0005,0.028,70,9,False,0.007846
3,0.0005,0.028,71,9,False,0.007771
3,0.0005,0.028,72,9,False,0.007885
3,0.0005,0.028,73,9,False,0.007903
3,0.0005,0.028,74,9,False,0.007795
3,0.0005,0.028,75,9,False,0.007858
3,0.0005,0.028,76,9,False,0.007918
3,0.0005,0.028,77,9,False,0.007894
3,0.0005,0.028,78,9,False,0.007873
3,0.0005,0.028,79,9,False,0.007837
3,0.0005,0.028,80,9,False,0.007915
3,0.0005,0.028,81,9,False,0.00782
3,0.0005,0.028,82,9,False,0.007781
3,0.0005,0.028,83,9,False,0.007832
3,0.0005,0.028,84,9,False,0.007935
3,0.0005,0.028,85,9,False,0.007828
3,0.0005,0.028,86,9,False,0.007892
3,0.0005,0.028,87,9,False,0.007817
3,0.0005,0.028,88,9,False,0.007884
3,0.0005,0.028,89,9,False,0.007831
3,0.0005,0.028,90,9,False,0.00781
3,0.0005,0.028,91,9,False,0.007834
3,0.0005,0.028,92,9,False,0.007897
3,0.0005,0.028,93,9,False,0.007877
3,0.0005,0.028,94,9,False,0.007847
3,0.0005,0.028,95,9,False,0.007852
3,0.0005,0.028,96,9,False,0.00802
3,0.0005,0.028,97,9,False,0.008008
3,0.0005,0.028,98,9,False,0.007853
3,0.0005,0.028,99,9,False,0.007845
3,0.001,0.028,0,9,False,0.01946
3,0.001,0.028,1,9,False,0.008264
3,0.001,0.028,2,9,False,0.00808
3,0.001,0.028,3,9,False,0.008174
3,0.001,0.028,4,9,False,0.008062
3,0.001,0.028,5,9,False,0.008047
3,0.001,0.028,6,9,False,0.008056
3,0.001,0.028,7,9,False,0.008032
3,0.001,0.028,8,9,False,0.008212
3,0.001,0.028,9,9,False,0.008216
3,0.001,0.028,10,9,False,0.008134
3,0.001,0.028,11,9,False,0.008158
3,0.001,0.028,12,9,False,0.008164
3,0.001,0.028,13,9,False,0.008171
3,0.001,0.028,14,9,False,0.008116
3,0.001,0.028,15,9,False,0.008136
3,0.001,0.028,16,9,False,0.008121
3,0.001,0.028,17,9,False,0.008115
3,0.001,0.028,18,9,False,0.008063
3,0.001,0.028,19,9,False,0.008008
3,0.001,0.028,20,9,False,0.008166
3,0.001,0.028,21,9,False,0.00802
3,0.001,0.028,22,9,False,0.008181
3,0.001,0.028,23,9,False,0.0081
3,0.001,0.028,24,9,False,0.00804
3,0.001,0.028,25,9,False,0.007991
3,0.001,0.028,26,9,False,0.007997
3,0.001,0.028,27,9,False,0.008024
3,0.001,0.028,28,9,False,0.008073
3,0.001,0.028,29,9,False,0.00799
3,0.001,0.028,30,9,False,0.007987
3,0.001,0.028,31,9,False,0.00805
3,0.001,0.028,32,9,False,0.008025
3,0.001,0.028,33,9,False,0.007982
3,0.001,0.028,34,9,False,0.007985
3,0.001,0.028,35,9,False,0.008197
3,0.001,0.028,36,9,False,0.008139
3,0.001,0.028,37,9,False,0.007995
3,0.001,0.028,38,9,False,0.008017
3,0.001,0.028,39,9,False,0.008033
3,0.001,0.028,40,9,False,0.008177
3,0.001,0.028,41,9,False,0.008005
3,0.001,0.028,42,9,False,0.0081
3,0.001,0.028,43,9,False,0.007961
3,0.001,0.028,44,9,False,0.00813
3,0.001,0.028,45,9,False,0.008149
3,0.001,0.028,46,9,False,0.007982
3,0.001,0.028,47,9,False,0.007969
3,0.001,0.028,48,9,False,0.008126
3,0.001,0.028,49,9,False,0.008015
3,0.001,0.028,50,9,False,0.008048
3,0.001,0.028,51,9,False,0.007988
3,0.001,0.028,52,9,False,0.00805
3,0.001,0.028,53,9,False,0.007977
3,0.001,0.028,54,9,False,0.008023
3,0.001,0.028,55,9,False,0.008001
3,0.001,0.028,56,9,False,0.008052
3,0.001,0.028,57,9,False,0.00807
3,0.001,0.028,58,9,False,0.008019
3,0.001,0.028,59,9,False,0.008039
3,0.001,0.028,60,9,False,0.008013
3,0.001,0.028,61,9,False,0.008027
3,0.001,0.028,62,9,False,0.007912
3,0.001,0.028,63,9,False,0.008049
3,0.001,0.028,64,9,False,0.008122
3,0.001,0.028,65,9,False,0.008049
3,0.001,0.028,66,9,False,0.008056
3,0.001,0.028,67,9,False,0.008071
3,0.001,0.028,68,9,False,0.00806
3,0.001,0.028,69,9,False,0.007999
3,0.001,0.028,70,9,False,0.008
3,0.001,0.028,71,9,False,0.008068
3,0.001,0.028,72,9,False,0.008184
3,0.001,0.028,73,9,False,0.008065
3,0.001,0.028,74,9,False,0.008044
3,0.001,0.028,75,9,False,0.008056
3,0.001,0.028,76,9,False,0.008116
3,0.001,0.028,77,9,False,0.008046
3,0.001,0.028,78,9,False,0.008095
3,0.001,0.028,79,9,False,0.008007
3,0.001,0.028,80,9,False,0.008097
3,0.001,0.028,81,9,False,0.007998
3,0.001,0.028,82,9,False,0.008082
3,0.001,0.028,83,9,False,0.008045
3,0.001,0.028,84,9,False,0.008026
3,0.001,0.028,85,9,False,0.008006
3,0.001,0.028,86,9,False,0.008018
3,0.001,0.028,87,9,False,0.008032
3,0.001,0.028,88,9,False,0.00806
3,0.001,0.028,89,9,False,0.007986
3,0.001,0.028,90,9,False,0.007899
3,0.001,0.028,91,9,False,0.007961
3,0.001,0.028,92,9,False,0.008023
3,0.001,0.028,93,9,False,0.007944
3,0.001,0.028,94,9,False,0.008047
3,0.001,0.028,95,9,False,0.008037
3,0.001,0.028,96,9,False,0.007996
3,0.001,0.028,97,9,True,0.008074
3,0.001,0.028,98,9,False,0.008006
3,0.001,0.028,99,9,False,0.007933
3,0.002,0.028,0,9,False,0.021821
3,0.002,0.028,1,9,False,0.008176
3,0.002,0.028,2,9,False,0.008069
3,0.002,0.028,3,9,False,0.008241
3,0.002,0.028,4,9,True,0.00823
3,0.002,0.028,5,9,False,0.008242
3,0.002,0.028,6,9,False,0.008224
3,0.002,0.028,7,9,False,0.008412
3,0.002,0.028,8,9,False,0.008698
3,0.002,0.028,9,9,False,0.008537
3,0.002,0.028,10,9,False,0.008375
3,0.002,0.028,11,9,False,0.008268
3,0.002,0.028,12,9,False,0.008125
3,0.002,0.028,13,9,False,0.008182
3,0.002,0.028,14,9,False,0.008151
3,0.002,0.028,15,9,False,0.008312
3,0.002,0.028,16,9,False,0.008123
3,0.002,0.028,17,9,False,0.00807
3,0.002,0.028,18,9,False,0.007928
3,0.002,0.028,19,9,False,0.007973
3,0.002,0.028,20,9,False,0.008013
3,0.002,0.028,21,9,False,0.008345
3,0.002,0.028,22,9,False,0.008379
3,0.002,0.028,23,9,False,0.008331
3,0.002,0.028,24,9,False,0.008096
3,0.002,0.028,25,9,False,0.007934
3,0.002,0.028,26,9,False,0.007905
3,0.002,0.028,27,9,False,0.007985
3,0.002,0.028,28,9,False,0.008126
3,0.002,0.028,29,9,False,0.008022
3,0.002,0.028,30,9,False,0.007908
3,0.002,0.028,31,9,False,0.007964
3,0.002,0.028,32,9,False,0.008048
3,0.002,0.028,33,9,True,0.007951
3,0.002,0.028,34,9,False,0.007939
3,0.002,0.028,35,9,False,0.008104
3,0.002,0.028,36,9,False,0.008516
3,0.002,0.028,37,9,False,0.008443
3,0.002,0.028,38,9,False,0.008144
3,0.002,0.028,39,9,False,0.008194
3,0.002,0.028,40,9,False,0.008116
3,0.002,0.028,41,9,False,0.00796
3,0.002,0.028,42,9,False,0.007953
3,0.002,0.028,43,9,False,0.007994
3,0.002,0.028,44,9,False,0.008322
3,0.002,0.028,45,9,False,0.008562
